sale_id,sale_date,product_name,category,quantity,unit_price,total_amount,payment_method,status
S-20260113-01668,2026-01-13,Ris 1kg,Pantry,2,31.39,62.78,card,completed
S-20260113-00481,13/01/2026,Mineralvatten 0.5L,Beverages,3,14.9,44.7,card,completed
S-20260113-00906,2026-01-13,Smör 500g,Dairy,1,49.9,49.9,card,completed
S-20260113-01152,2026-01-13,Läsk 1.5L,Beverages,5,21.16,105.8,card,completed
S-20260113-00030,2026-01-13,Tonfisk burk,Pantry,1,21.16,21.16,cash,completed
S-20260113-00545,2026-01-13,Bröd Limpa,Bakery,1,28.4,28.4,swish,completed
S-20260113-01243,13/01/2026,Gurka,Produce,1,19.9,19.9,card,completed
S-20260113-00846,2026-01-13,Toalettpapper 8-pack,Household,2,53.91,107.82,card,completed
S-20260113-01361,2026-01-13,Glass,Frozen,1,33.91,33.91,swish,completed
S-20260113-01194,2026-01-13,Diskmedel,Household,2,29.9,59.8,card,completed
S-20260113-02034,2026-01-13,Mjölk 1L,Dairy,1,18.9,18.9,card,completed
S-20260113-01005,13/01/2026,Bananer,Produce,1,29.9,29.9,card,cancelled
S-20260113-01345,2026-01-13,Diskmedel,Household,1,29.9,29.9,card,completed
S-20260113-00234,2026-01-13,Chokladkaka,Snacks,3,21.16,63.48,cash,completed
S-20260113-01246,2026-01-13,Gurka,Produce,2,19.9,39.8,cash,completed
S-20260113-00713,13/01/2026,Glass,Frozen,2,39.9,79.8,card,Complete
S-20260113-00071,2026-01-13,Tandkräm,Personal Care,1,28.4,28.4,card,done
S-20260113-01129,2026-01-13,Ägg 12-pack,Dairy,1,39.9,39.9,card,completed
S-20260113-00129,2026-01-13,Ägg 12-pack,Dairy,1,39.9,39.9,card,completed
S-20260113-01201,2026-01-13,Godis påse,Snacks,1,19.9,19.9,card,completed
S-20260113-00057,2026-01-13,Pasta 500g,Pantry,2,19.9,39.8,cash,completed
S-20260113-00355,2026-01-13,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260113-01904,2026-01-13,Tonfisk burk,Pantry,1,21.16,21.16,swish,completed
S-20260113-01011,2026-01-13,Krossade tomater,Pantry,1,13.41,13.41,card,Complete
S-20260113-01166,13/01/2026,Godis påse,Snacks,2,19.9,39.8,card,completed
S-20260113-00839,2026-01-13,Äpplen,Produce,2,34.9,69.8,card,completed
S-20260113-00515,2026-01-13,Ägg 12-pack,Dairy,3,39.9,119.7,card,completed
S-20260113-01729,2026-01-13,Frysta ärtor,Frozen,3,24.9,74.7,card,completed
S-20260113-01091,2026-01-13,Schampo,Personal Care,2,47.4,94.8,card,completed
S-20260113-01450,2026-01-13,Glass,Frozen,1,39.9,39.9,cash,completed
S-20260113-01048,2026-01-13,Tandkräm,Personal Care,1,26.91,26.91,card,completed
S-20260113-00536,2026-01-13,Chips 275g,Snacks,1,26.91,26.91,card,completed
S-20260113-00612,2026-01-13,Mjölk 1L,Dairy,1,18.9,18.9,swish,completed
S-20260113-00888,2026-01-13,Ägg 12-pack,Dairy,3,39.9,119.7,card,Complete
S-20260113-01030,2026-01-13,Glass,Frozen,1,41.9,41.9,card,completed
S-20260113-00866,13/01/2026,Mineralvatten 0.5L,Beverages,1,14.9,14.9,cash,completed
S-20260113-00417,2026-01-13,Kaffe 500g,Beverages,1,69.9,69.9,card,completed
S-20260113-01784,2026-01-13,Bananer,Produce,1,25.41,25.41,swish,completed
S-20260113-02015,2026-01-13,Smör 500g,Dairy,1,49.9,49.9,card,completed
S-20260113-01782,2026-01-13,Bananer,Produce,1,29.9,29.9,swish,completed
