sale_id,sale_date,product_name,category,quantity,unit_price,total_amount,payment_method,status
S-20260116-01510,2026-01-16,Tomater,Produce,2,39.9,79.8,card,completed
S-20260116-00234,2026-01-16,Mineralvatten 0.5L,beverages,1,14.9,14.9,swish,completed
S-20260116-00439,16/01/2026,Äpplen,Produce,1,34.9,34.9,card,completed
S-20260116-00299,2026-01-16,Ägg 12-pack,Dairy,2,37.9,75.8,card,completed
S-20260116-01897,2026-01-16,Äpplen,Produce,2,29.66,59.32,card,completed
S-20260116-00300,16/01/2026,Cigaretter,Tobacco,1,79.0,79.0,swish,completed
S-20260116-01344,2026-01-16,Ägg 12-pack,Dairy,4,39.9,159.6,card,completed
S-20260116-02026,16/01/2026,Pasta 500g,Pantry,2,19.9,39.8,card,completed
S-20260116-00071,2026-01-16,Äpplen,Produce,2,34.9,69.8,card,completed
S-20260116-00531,2026-01-16,Glass,Frozen,1,39.9,39.9,cash,completed
S-20260116-02007,2026-01-16,Frysta ärtor,Frozen,2,22.41,44.82,card,completed
S-20260116-01721,2026-01-16,Smör 500g,dairy,1,49.9,49.9,swish,completed
S-20260116-00650,16/01/2026,Chokladkaka,Snacks,4,24.9,99.6,card,completed
S-20260116-01711,16/01/2026,Tvättmedel,Household,5,71.91,359.55,card,completed
S-20260116-00927,2026-01-16,Cigaretter,Tobacco,1,79.0,79.0,card,completed
S-20260116-00789,2026-01-16,Chips 275g,Snacks,4,28.4,113.6,swish,completed
S-20260116-00515,2026-01-16,Ris 1kg,Pantry,1,29.9,29.9,card,completed
S-20260116-00136,2026-01-16,Schampo,Personal Care,2,44.91,89.82,cash,completed
S-20260116-00520,16/01/2026,Mineralvatten 0.5L,beverages,1,14.9,14.9,card,completed
S-20260116-00110,2026-01-16,Ägg 12-pack,Dairy,1,39.9,39.9,card,completed
S-20260116-01396,2026-01-16,Toalettpapper 8-pack,Household,1,53.91,53.91,card,completed
S-20260116-01677,2026-01-16,Frysta ärtor,Frozen,1,24.9,24.9,card,completed
S-20260116-00430,2026-01-16,Tomater,Produce,2,39.9,79.8,card,completed
S-20260116-02129,2026-01-16,Frysta ärtor,Frozen,1,26.14,26.14,card,completed
S-20260116-01406,2026-01-16,Bananer,Produce,2,29.9,59.8,swish,completed
S-20260116-00383,2026-01-16,Tvättmedel,Household,3,79.9,239.7,card,completed
S-20260116-00283,2026-01-16,Läsk 1.5L,Beverages,3,24.9,74.7,card,completed
S-20260116-00355,16/01/2026,Chips 275g,Snacks,1,29.9,29.9,card,completed
S-20260116-00112,2026-01-16,Kaffe 500g,beverages,2,69.9,139.8,swish,completed
S-20260116-01629,2026-01-16,Kaffe 500g,Beverages,3,69.9,209.7,card,completed
S-20260116-01918,2026-01-16,Mineralvatten 0.5L,Beverages,1,14.9,14.9,card,completed
S-20260116-01678,2026-01-16,Gurka,Produce,1,19.9,19.9,card,completed
S-20260116-01023,16/01/2026,Gurka,Produce,1,19.9,19.9,card,completed
S-20260116-00603,16/01/2026,Tomater,Produce,1,41.9,41.9,cash,completed
S-20260116-02002,2026-01-16,Läsk 1.5L,Beverages,1,24.9,24.9,swish,completed
S-20260116-00868,2026-01-16,Tonfisk burk,Pantry,3,24.9,74.7,card,completed
S-20260116-01456,2026-01-16,Cigaretter,Tobacco,1,86.9,86.9,card,completed
S-20260116-00669,2026-01-16,Chokladkaka,Snacks,1,21.16,21.16,card,completed
