sale_id,sale_date,product_name,category,quantity,unit_price,total_amount,payment_method,status
S-20260114-00221,14/01/2026,Tonfisk burk,Pantry,2,24.9,49.8,card,completed
S-20260114-00549,2026-01-14,Mjölk 1L,Dairy,3,18.9,56.7,card,completed
S-20260114-01334,14/01/2026,Glass,Frozen,3,39.9,119.7,card,completed
S-20260114-00197,2026-01-14,Bananer,Produce,2,29.9,59.8,card,completed
S-20260114-00030,2026-01-14,Gurka,Produce,1,17.91,17.91,card,completed
S-20260114-00185,2026-01-14,Bananer,Produce,1,29.9,29.9,card,completed
S-20260114-00943,2026-01-14,Te 20-pack,Beverages,1,34.9,34.9,cash,completed
S-20260114-00583,2026-01-14,Frysta ärtor,frozen,1,24.9,24.9,card,completed
S-20260114-01981,2026-01-14,Frysta ärtor,Frozen,2,24.9,49.8,card,completed
S-20260114-00768,2026-01-14,Tomater,Produce,1,39.9,39.9,swish,Complete
S-20260114-01447,2026-01-14,Glass,Frozen,3,39.9,119.7,swish,completed
S-20260114-01657,2026-01-14,Gurka,Produce,5,19.9,99.5,card,completed
S-20260114-00428,2026-01-14,Chokladkaka,Snacks,1,21.16,21.16,cash,completed
S-20260114-00931,2026-01-14,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260114-01193,2026-01-14,Chips 275g,Snacks,1,29.9,29.9,card,completed
S-20260114-01226,2026-01-14,Bananer,Produce,2,29.9,59.8,card,cancelled
S-20260114-00071,14/01/2026,Kaffe 500g,Beverages,1,69.9,,card,completed
S-20260114-01133,14/01/2026,Läsk 1.5L,Beverages,1,24.9,24.9,card,completed
S-20260114-00129,14/01/2026,Gurka,Produce,2,19.9,39.8,card,completed
S-20260114-00530,2026-01-14,Bröd Limpa,bakery,1,29.9,29.9,card,completed
S-20260114-00057,2026-01-14,Toalettpapper 8-pack,Household,2,59.9,119.8,card,completed
S-20260114-00352,2026-01-14,Ris 1kg,Pantry,1,29.9,29.9,card,completed
S-20260114-01527,2026-01-14,Ris 1kg,Pantry,1,29.9,29.9,card,completed
S-20260114-01294,2026-01-14,Bananer,Produce,1,29.9,29.9,card,completed
S-20260114-01170,2026-01-14,Tonfisk burk,Pantry,1,24.9,24.9,swish,completed
S-20260114-01445,2026-01-14,Schampo,personal care,1,49.9,49.9,card,completed
S-20260114-00368,2026-01-14,Frysta ärtor,Frozen,1,24.9,24.9,card,completed
S-20260114-01178,2026-01-14,Bröd Limpa,Bakery,4,29.9,119.6,card,completed
S-20260114-01095,2026-01-14,Te 20-pack,Beverages,1,34.9,34.9,card,completed
S-20260114-00300,14/01/2026,Smör 500g,Dairy,2,42.41,84.82,card,completed
S-20260114-00850,2026-01-14,Bröd Limpa,Bakery,1,29.9,29.9,card,completed
S-20260114-01286,2026-01-14,Äpplen,Produce,1,34.9,34.9,card,completed
S-20260114-00591,2026-01-14,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260114-01426,14/01/2026,Läsk 1.5L,Beverages,1,24.9,24.9,card,completed
S-20260114-01643,2026-01-14,Tvättmedel,Household,4,79.9,319.6,card,completed
S-20260114-00545,2026-01-14,Diskmedel,Household,2,28.4,56.8,swish,completed
S-20260114-00423,2026-01-14,Krossade tomater,Pantry,2,14.9,29.8,card,completed
S-20260114-02020,2026-01-14,Gurka,Produce,1,19.9,19.9,card,completed
S-20260114-00394,2026-01-14,Krossade tomater,Pantry,1,14.15,14.15,card,completed
S-20260114-01898,14/01/2026,Krossade tomater,Pantry,1,14.9,14.9,card,completed
S-20260114-00924,2026-01-14,Tomater,Produce,1,39.9,39.9,swish,completed
S-20260114-00863,2026-01-14,Glass,Frozen,2,39.9,79.8,card,completed
S-20260114-00944,2026-01-14,Kaffe 500g,Beverages,1,69.9,69.9,swish,completed
S-20260114-01443,2026-01-14,Äpplen,Produce,1,34.9,34.9,cash,completed
S-20260114-00234,2026-01-14,Te 20-pack,Beverages,1,33.15,33.15,card,completed
S-20260114-01121,2026-01-14,Mjölk 1L,Dairy,2,18.9,37.8,card,completed
S-20260114-00112,14/01/2026,Frysta ärtor,Frozen,2,22.41,44.82,swish,completed
S-20260114-00722,2026-01-14,Ris 1kg,Pantry,1,26.91,26.91,swish,completed
S-20260114-00238,2026-01-14,Bröd Limpa,Bakery,1,25.41,25.41,swish,completed
S-20260114-00694,2026-01-14,Ris 1kg,pantry,2,28.4,56.8,cash,completed
S-20260114-00650,2026-01-14,Cigaretter,Tobacco,1,79.0,79.0,card,completed
S-20260114-01952,2026-01-14,Toalettpapper 8-pack,Household,2,59.9,119.8,card,completed
S-20260114-01344,2026-01-14,Tandkräm,Personal Care,3,29.9,89.7,swish,completed
S-20260114-00508,2026-01-14,Frysta ärtor,Frozen,1,24.9,24.9,card,completed
S-20260114-01621,2026-01-14,Chips 275g,Snacks,1,29.9,29.9,card,completed
S-20260114-01905,2026-01-14,Kaffe 500g,Beverages,1,69.9,69.9,swish,completed
S-20260114-00536,2026-01-14,Tvättmedel,Household,1,79.9,79.9,card,completed
S-20260114-01804,2026-01-14,Godis påse,Snacks,1,19.9,19.9,card,completed
S-20260114-00539,2026-01-14,Tonfisk burk,Pantry,3,24.9,74.7,card,completed
